date,twitter,instagram,facebook
2022-03-21,804,94,34
2022-03-22,804,94,34
2022-03-23,804,94,34
2022-03-24,804,94,34
2022-03-25,804,94,34
2022-03-26,804,94,34
2022-03-27,804,94,34
2022-03-28,804,94,34
2022-03-29,804,94,34
2022-03-30,804,94,34
2022-03-31,804,94,34
2022-04-01,804,94,34
2022-04-02,804,94,34
2022-04-03,804,94,34
2022-04-04,804,94,34
2022-04-05,804,94,34
2022-04-06,804,94,34
2022-04-07,804,94,34
2022-04-08,804,94,34
